state,office,district,potential_power,pr_close,pr_tip,realized_power
IA,ussenate,IA,12.5,0.45254003964995115,0.0845456,0.47825336470286134
GA,ussenate,GA,12.5,0.45254003964995115,0.0839165,0.4746947029660641
NC,ussenate,NC,12.5,0.45254003964995115,0.0793487,0.4488557980521509
PA,president,,25.0,0.06063779823053885,0.283025,0.4290503211049565
ME,ussenate,ME,12.5,0.45254003964995115,0.0723257,0.40912843932138093
AZ,ussenate,AZ,12.5,0.45254003964995115,0.0678789,0.3839740012174384
CO,ussenate,CO,12.5,0.45254003964995115,0.0616897,0.3489632410499199
TX,statehouse,,1.0966038340478594,0.3135217538842226,1.0,0.34380915736684786
SC,ussenate,SC,12.5,0.45254003964995115,0.0549617,0.310904623715359
MT,ussenate,MT,12.5,0.45254003964995115,0.0539693,0.30529086452350135
MI,ussenate,MI,12.5,0.45254003964995115,0.0526973,0.2980954778930671
GA,ussenate,GA-S,12.5,0.45254003964995115,0.0506889,0.28673446019765514
AK,ussenate,AK,12.5,0.45254003964995115,0.0465303,0.2632102975865515
NC,governor,,0.7934484701799508,0.2783550336327065,1.0,0.2208603756027597
MI,president,,25.0,0.06063779823053885,0.14115,0.21397563050601395
FL,president,,25.0,0.06063779823053885,0.14105,0.21382403601043762
NM,ussenate,NM,12.5,0.45254003964995115,0.036046,0.20390322836527675
MN,ussenate,MN,12.5,0.45254003964995115,0.0352805,0.19957298586087627
MS,ussenate,MS,12.5,0.45254003964995115,0.034977,0.19785616208545426
AL,ussenate,AL,12.5,0.45254003964995115,0.0335379,0.1897155324472012
VA,ussenate,VA,12.5,0.45254003964995115,0.0278789,0.1577039813924628
PA,statehouse,,0.48931596902153773,0.31039750746347267,1.0,0.15188245714635912
WI,president,,25.0,0.06063779823053885,0.09855,0.14939637539049008
MO,governor,,0.4681434766517746,0.28111825112540767,1.0,0.13160367543211499
MI,statehouse,,0.3819112922467705,0.3303335965809015,1.0,0.12615813074273546
NC,statehouse,,0.3967242350899754,0.3092121052924942,1.0,0.1226719359527257
TX,ussenate,TX,12.5,0.45254003964995115,0.0207877,0.1175908322778911
AR,ussenate,AR,12.5,0.45254003964995115,0.0197954,0.11197763876108305
NC,statesenate,,0.3967242350899754,0.28076764236775614,1.0,0.11138732815636382
PA,statesenate,,0.48931596902153773,0.2053562400646078,1.0,0.10048408760183308
AZ,statehouse,,0.2740051902598594,0.31049846036238066,1.0,0.08507818970698754
AZ,statesenate,,0.2740051902598594,0.28425673014216024,1.0,0.07788781942524814
MN,president,,25.0,0.06063779823053885,0.050225,0.07613833540322033
AZ,president,,25.0,0.06063779823053885,0.049725,0.0753803629253386
MA,ussenate,MA,12.5,0.45254003964995115,0.0131969,0.0746515706157055
NC,president,,25.0,0.06063779823053885,0.04845,0.07344753310674018
SD,ussenate,SD,12.5,0.45254003964995115,0.0122046,0.06903837709889742
TN,ussenate,TN,12.5,0.45254003964995115,0.0117272,0.06633784441228634
MN,statesenate,,0.2143848384983207,0.30709381149345855,1.0,0.06583625718085885
KY,ussenate,KY,12.5,0.45254003964995115,0.0102575,0.058024118208867166
TX,president,,25.0,0.06063779823053885,0.033225,0.050367271155241325
NH,ussenate,NH,12.5,0.45254003964995115,0.0088184,0.049883488570614115
NV,president,,25.0,0.06063779823053885,0.032775,0.04968509592514777
NC,ushouse,6,12.5,0.1758689140605076,0.0225,0.04946313207951775
GA,president,,25.0,0.06063779823053885,0.031475,0.047714367482655264
NH,ushouse,1,12.5,0.1758689140605076,0.0213,0.04682509836861014
PA,ushouse,17,12.5,0.1758689140605076,0.021,0.04616558994088324
CA,ushouse,39,12.5,0.1758689140605076,0.0209,0.0459457537983076
TX,ushouse,7,12.5,0.1758689140605076,0.02,0.0439672285151269
NC,ushouse,2,12.5,0.1758689140605076,0.02,0.0439672285151269
NV,ushouse,3,12.5,0.1758689140605076,0.02,0.0439672285151269
MN,statehouse,,0.2143848384983207,0.20082155528422066,1.0,0.04305309669658923
IA,ushouse,2,12.5,0.1758689140605076,0.0193,0.04242837551709745
NJ,ushouse,3,12.5,0.1758689140605076,0.019,0.04176886708937055
GA,ushouse,6,12.5,0.1758689140605076,0.0181,0.039790341806189844
IA,ushouse,3,12.5,0.1758689140605076,0.018,0.0395705056636142
CA,ushouse,48,12.5,0.1758689140605076,0.0179,0.039350669521038564
AZ,ushouse,1,12.5,0.1758689140605076,0.0178,0.03913083337846293
TX,ushouse,23,12.5,0.1758689140605076,0.0178,0.03913083337846293
NJ,ushouse,7,12.5,0.1758689140605076,0.0178,0.03913083337846293
OR,ushouse,4,12.5,0.1758689140605076,0.0172,0.03781181652300913
WI,ushouse,3,12.5,0.1758689140605076,0.0172,0.03781181652300913
SC,ushouse,1,12.5,0.1758689140605076,0.017,0.03737214423785786
VA,ushouse,2,12.5,0.1758689140605076,0.0169,0.03715230809528222
IA,statehouse,,0.12058600092819752,0.30788197029200287,1.0,0.03712625555540674
WY,ussenate,WY,12.5,0.45254003964995115,0.0065303,0.03694027776157595
NE,ussenate,NE,12.5,0.45254003964995115,0.0064621,0.036554487377774364
FL,ushouse,26,12.5,0.1758689140605076,0.016,0.03517378281210151
NH,president,,25.0,0.06063779823053885,0.0231,0.035018328478136185
NY,ushouse,22,12.5,0.1758689140605076,0.0152,0.03341509367149644
IA,ushouse,1,12.5,0.1758689140605076,0.0147,0.03231591295861826
VA,president,,25.0,0.06063779823053885,0.020825,0.03156955370377429
