year,county,county_num,turnout,pct_dem,pct_rep,dem_lead,num_dem,num_rep
2000,Adams,9116.0,0.5478,52.9,43.0,9.9,4826.0,3920.0
2004,Adams,10456.0,0.6284,52.1,46.8,5.3,5447.0,4890.0
2008,Adams,9986.0,0.6001,58.1,39.8,18.3,5806.0,3974.0
2012,Adams,10287.0,0.6033,53.9,45.1,8.8,5542.0,4644.0
2016,Adams,10158.0,0.5958,37.2,58.9,-21.7,3780.0,5983.0
2000,Ashland,7890.0,0.6353,55.2,38.5,16.7,4356.0,3038.0
2004,Ashland,9199.0,0.7407,63.1,36.0,27.1,5805.0,3313.0
2008,Ashland,8574.0,0.6903,67.9,30.7,37.2,5818.0,2634.0
2012,Ashland,8372.0,0.679,64.5,33.7,30.8,5399.0,2820.0
2016,Ashland,7986.0,0.6477,51.8,42.9,8.9,4136.0,3428.0
2000,Barron,19904.0,0.5645,44.9,49.5,-4.6,8928.0,9848.0
2004,Barron,23937.0,0.6789,48.9,50.3,-1.4,11696.0,12030.0
2008,Barron,22886.0,0.6491,52.8,45.7,7.1,12078.0,10457.0
2012,Barron,22692.0,0.6422,48.0,50.4,-2.4,10890.0,11443.0
2016,Barron,22628.0,0.6404,34.8,60.1,-25.3,7881.0,13595.0
2000,Bayfield,8259.0,0.6914,53.6,39.5,14.1,4427.0,3266.0
2004,Bayfield,9699.0,0.812,60.3,38.7,21.6,5845.0,3754.0
2008,Bayfield,9468.0,0.7926,63.1,35.5,27.6,5972.0,3365.0
2012,Bayfield,9788.0,0.8026,61.6,36.8,24.8,6033.0,3603.0
2016,Bayfield,9539.0,0.7822,51.9,43.2,8.7,4953.0,4125.0
2000,Brown,107769.0,0.6109,45.6,50.3,-4.7,49096.0,54258.0
2004,Brown,123294.0,0.6989,44.6,54.5,-9.9,54935.0,67173.0
2008,Brown,124754.0,0.7071,53.9,44.8,9.1,67269.0,55854.0
2012,Brown,128928.0,0.7066,48.5,50.3,-1.8,62526.0,64836.0
2016,Brown,128965.0,0.7068,41.4,52.1,-10.7,53358.0,67192.0
2000,Buffalo,6641.0,0.6343,48.7,45.7,3.0,3237.0,3038.0
2004,Buffalo,7591.0,0.725,52.7,46.1,6.6,3998.0,3502.0
2008,Buffalo,7000.0,0.6686,56.4,41.8,14.6,3949.0,2923.0
2012,Buffalo,7039.0,0.6755,50.7,47.8,2.9,3570.0,3364.0
2016,Buffalo,6987.0,0.6705,36.2,58.0,-21.8,2531.0,4049.0
